num_impute,cate_impute,scale,pca,encode,f1
none,none,none,none,onehot,0.8617886178861789
none,none,none,none,ordinal,0.8617886178861789
none,none,none,pca_0.95_auto,onehot,0.8605654048873982
none,none,none,pca_0.95_auto,ordinal,0.8622009569377991
none,none,none,pca_0.95_full,onehot,0.8636144578313253
none,none,none,pca_0.95_full,ordinal,0.8619367209971237
none,none,none,pca_0.99_auto,onehot,0.8636144578313253
none,none,none,pca_0.99_auto,ordinal,0.8619367209971237
none,none,none,pca_0.99_full,onehot,0.8636144578313253
none,none,none,pca_0.99_full,ordinal,0.8619367209971237
none,none,standard,none,onehot,0.9007470651013874
none,none,standard,none,ordinal,0.8788335847159376
none,none,standard,pca_0.95_auto,onehot,0.9007470651013874
none,none,standard,pca_0.95_auto,ordinal,0.8788335847159376
none,none,standard,pca_0.95_full,onehot,0.9007470651013874
none,none,standard,pca_0.95_full,ordinal,0.8788335847159376
none,none,standard,pca_0.99_auto,onehot,0.9007470651013874
none,none,standard,pca_0.99_auto,ordinal,0.8788335847159376
none,none,standard,pca_0.99_full,onehot,0.9007470651013874
none,none,standard,pca_0.99_full,ordinal,0.8788335847159376
none,none,minmax,none,onehot,0.8886532343584306
none,none,minmax,none,ordinal,0.8673765730880929
none,none,minmax,pca_0.95_auto,onehot,0.8886532343584306
none,none,minmax,pca_0.95_auto,ordinal,0.8661188980183664
none,none,minmax,pca_0.95_full,onehot,0.8886532343584306
none,none,minmax,pca_0.95_full,ordinal,0.8661188980183664
none,none,minmax,pca_0.99_auto,onehot,0.8886532343584306
none,none,minmax,pca_0.99_auto,ordinal,0.8661188980183664
none,none,minmax,pca_0.99_full,onehot,0.8886532343584306
none,none,minmax,pca_0.99_full,ordinal,0.8661188980183664
none,most,none,none,onehot,0.8617886178861789
none,most,none,none,ordinal,0.8617886178861789
none,most,none,pca_0.95_auto,onehot,0.8605654048873982
none,most,none,pca_0.95_auto,ordinal,0.8622009569377991
none,most,none,pca_0.95_full,onehot,0.8636144578313253
none,most,none,pca_0.95_full,ordinal,0.8619367209971237
none,most,none,pca_0.99_auto,onehot,0.8636144578313253
none,most,none,pca_0.99_auto,ordinal,0.8619367209971237
none,most,none,pca_0.99_full,onehot,0.8636144578313253
none,most,none,pca_0.99_full,ordinal,0.8619367209971237
none,most,standard,none,onehot,0.9007470651013874
none,most,standard,none,ordinal,0.8788335847159376
none,most,standard,pca_0.95_auto,onehot,0.9007470651013874
none,most,standard,pca_0.95_auto,ordinal,0.8788335847159376
none,most,standard,pca_0.95_full,onehot,0.9007470651013874
none,most,standard,pca_0.95_full,ordinal,0.8788335847159376
none,most,standard,pca_0.99_auto,onehot,0.9007470651013874
none,most,standard,pca_0.99_auto,ordinal,0.8788335847159376
none,most,standard,pca_0.99_full,onehot,0.9007470651013874
none,most,standard,pca_0.99_full,ordinal,0.8788335847159376
none,most,minmax,none,onehot,0.8886532343584306
none,most,minmax,none,ordinal,0.8673765730880929
none,most,minmax,pca_0.95_auto,onehot,0.8886532343584306
none,most,minmax,pca_0.95_auto,ordinal,0.8661188980183664
none,most,minmax,pca_0.95_full,onehot,0.8886532343584306
none,most,minmax,pca_0.95_full,ordinal,0.8661188980183664
none,most,minmax,pca_0.99_auto,onehot,0.8886532343584306
none,most,minmax,pca_0.99_auto,ordinal,0.8661188980183664
none,most,minmax,pca_0.99_full,onehot,0.8886532343584306
none,most,minmax,pca_0.99_full,ordinal,0.8661188980183664
mean,none,none,none,onehot,0.8617886178861789
mean,none,none,none,ordinal,0.8617886178861789
mean,none,none,pca_0.95_auto,onehot,0.8605654048873982
mean,none,none,pca_0.95_auto,ordinal,0.8622009569377991
mean,none,none,pca_0.95_full,onehot,0.8636144578313253
mean,none,none,pca_0.95_full,ordinal,0.8619367209971237
mean,none,none,pca_0.99_auto,onehot,0.8636144578313253
mean,none,none,pca_0.99_auto,ordinal,0.8619367209971237
mean,none,none,pca_0.99_full,onehot,0.8636144578313253
mean,none,none,pca_0.99_full,ordinal,0.8619367209971237
mean,none,standard,none,onehot,0.9007470651013874
mean,none,standard,none,ordinal,0.8788335847159376
mean,none,standard,pca_0.95_auto,onehot,0.9007470651013874
mean,none,standard,pca_0.95_auto,ordinal,0.8788335847159376
mean,none,standard,pca_0.95_full,onehot,0.9007470651013874
mean,none,standard,pca_0.95_full,ordinal,0.8788335847159376
mean,none,standard,pca_0.99_auto,onehot,0.9007470651013874
mean,none,standard,pca_0.99_auto,ordinal,0.8788335847159376
mean,none,standard,pca_0.99_full,onehot,0.9007470651013874
mean,none,standard,pca_0.99_full,ordinal,0.8788335847159376
mean,none,minmax,none,onehot,0.8886532343584306
mean,none,minmax,none,ordinal,0.8673765730880929
mean,none,minmax,pca_0.95_auto,onehot,0.8886532343584306
mean,none,minmax,pca_0.95_auto,ordinal,0.8661188980183664
mean,none,minmax,pca_0.95_full,onehot,0.8886532343584306
mean,none,minmax,pca_0.95_full,ordinal,0.8661188980183664
mean,none,minmax,pca_0.99_auto,onehot,0.8886532343584306
mean,none,minmax,pca_0.99_auto,ordinal,0.8661188980183664
mean,none,minmax,pca_0.99_full,onehot,0.8886532343584306
mean,none,minmax,pca_0.99_full,ordinal,0.8661188980183664
mean,most,none,none,onehot,0.8617886178861789
mean,most,none,none,ordinal,0.8617886178861789
mean,most,none,pca_0.95_auto,onehot,0.8605654048873982
mean,most,none,pca_0.95_auto,ordinal,0.8622009569377991
mean,most,none,pca_0.95_full,onehot,0.8636144578313253
mean,most,none,pca_0.95_full,ordinal,0.8619367209971237
mean,most,none,pca_0.99_auto,onehot,0.8636144578313253
mean,most,none,pca_0.99_auto,ordinal,0.8619367209971237
mean,most,none,pca_0.99_full,onehot,0.8636144578313253
mean,most,none,pca_0.99_full,ordinal,0.8619367209971237
mean,most,standard,none,onehot,0.9007470651013874
mean,most,standard,none,ordinal,0.8788335847159376
mean,most,standard,pca_0.95_auto,onehot,0.9007470651013874
mean,most,standard,pca_0.95_auto,ordinal,0.8788335847159376
mean,most,standard,pca_0.95_full,onehot,0.9007470651013874
mean,most,standard,pca_0.95_full,ordinal,0.8788335847159376
mean,most,standard,pca_0.99_auto,onehot,0.9007470651013874
mean,most,standard,pca_0.99_auto,ordinal,0.8788335847159376
mean,most,standard,pca_0.99_full,onehot,0.9007470651013874
mean,most,standard,pca_0.99_full,ordinal,0.8788335847159376
mean,most,minmax,none,onehot,0.8886532343584306
mean,most,minmax,none,ordinal,0.8673765730880929
mean,most,minmax,pca_0.95_auto,onehot,0.8886532343584306
mean,most,minmax,pca_0.95_auto,ordinal,0.8661188980183664
mean,most,minmax,pca_0.95_full,onehot,0.8886532343584306
mean,most,minmax,pca_0.95_full,ordinal,0.8661188980183664
mean,most,minmax,pca_0.99_auto,onehot,0.8886532343584306
mean,most,minmax,pca_0.99_auto,ordinal,0.8661188980183664
mean,most,minmax,pca_0.99_full,onehot,0.8886532343584306
mean,most,minmax,pca_0.99_full,ordinal,0.8661188980183664
median,none,none,none,onehot,0.8617886178861789
median,none,none,none,ordinal,0.8617886178861789
median,none,none,pca_0.95_auto,onehot,0.8605654048873982
median,none,none,pca_0.95_auto,ordinal,0.8622009569377991
median,none,none,pca_0.95_full,onehot,0.8636144578313253
median,none,none,pca_0.95_full,ordinal,0.8619367209971237
median,none,none,pca_0.99_auto,onehot,0.8636144578313253
median,none,none,pca_0.99_auto,ordinal,0.8619367209971237
median,none,none,pca_0.99_full,onehot,0.8636144578313253
median,none,none,pca_0.99_full,ordinal,0.8619367209971237
median,none,standard,none,onehot,0.9007470651013874
median,none,standard,none,ordinal,0.8788335847159376
median,none,standard,pca_0.95_auto,onehot,0.9007470651013874
median,none,standard,pca_0.95_auto,ordinal,0.8788335847159376
median,none,standard,pca_0.95_full,onehot,0.9007470651013874
median,none,standard,pca_0.95_full,ordinal,0.8788335847159376
median,none,standard,pca_0.99_auto,onehot,0.9007470651013874
median,none,standard,pca_0.99_auto,ordinal,0.8788335847159376
median,none,standard,pca_0.99_full,onehot,0.9007470651013874
median,none,standard,pca_0.99_full,ordinal,0.8788335847159376
median,none,minmax,none,onehot,0.8886532343584306
median,none,minmax,none,ordinal,0.8673765730880929
median,none,minmax,pca_0.95_auto,onehot,0.8886532343584306
median,none,minmax,pca_0.95_auto,ordinal,0.8661188980183664
median,none,minmax,pca_0.95_full,onehot,0.8886532343584306
median,none,minmax,pca_0.95_full,ordinal,0.8661188980183664
median,none,minmax,pca_0.99_auto,onehot,0.8886532343584306
median,none,minmax,pca_0.99_auto,ordinal,0.8661188980183664
median,none,minmax,pca_0.99_full,onehot,0.8886532343584306
median,none,minmax,pca_0.99_full,ordinal,0.8661188980183664
median,most,none,none,onehot,0.8617886178861789
median,most,none,none,ordinal,0.8617886178861789
median,most,none,pca_0.95_auto,onehot,0.8605654048873982
median,most,none,pca_0.95_auto,ordinal,0.8622009569377991
median,most,none,pca_0.95_full,onehot,0.8636144578313253
median,most,none,pca_0.95_full,ordinal,0.8619367209971237
median,most,none,pca_0.99_auto,onehot,0.8636144578313253
median,most,none,pca_0.99_auto,ordinal,0.8619367209971237
median,most,none,pca_0.99_full,onehot,0.8636144578313253
median,most,none,pca_0.99_full,ordinal,0.8619367209971237
median,most,standard,none,onehot,0.9007470651013874
median,most,standard,none,ordinal,0.8788335847159376
median,most,standard,pca_0.95_auto,onehot,0.9007470651013874
median,most,standard,pca_0.95_auto,ordinal,0.8788335847159376
median,most,standard,pca_0.95_full,onehot,0.9007470651013874
median,most,standard,pca_0.95_full,ordinal,0.8788335847159376
median,most,standard,pca_0.99_auto,onehot,0.9007470651013874
median,most,standard,pca_0.99_auto,ordinal,0.8788335847159376
median,most,standard,pca_0.99_full,onehot,0.9007470651013874
median,most,standard,pca_0.99_full,ordinal,0.8788335847159376
median,most,minmax,none,onehot,0.8886532343584306
median,most,minmax,none,ordinal,0.8673765730880929
median,most,minmax,pca_0.95_auto,onehot,0.8886532343584306
median,most,minmax,pca_0.95_auto,ordinal,0.8661188980183664
median,most,minmax,pca_0.95_full,onehot,0.8886532343584306
median,most,minmax,pca_0.95_full,ordinal,0.8661188980183664
median,most,minmax,pca_0.99_auto,onehot,0.8886532343584306
median,most,minmax,pca_0.99_auto,ordinal,0.8661188980183664
median,most,minmax,pca_0.99_full,onehot,0.8886532343584306
median,most,minmax,pca_0.99_full,ordinal,0.8661188980183664
